Class,Wavelength (nm),Mean Reflectance,Std Reflectance
actinic_keratosis,400.0,0.35989535,0.10514655
actinic_keratosis,410.0,0.40002793,0.09555571
actinic_keratosis,420.0,0.3874208,0.09334296
actinic_keratosis,430.0,0.3668388,0.08388651
actinic_keratosis,440.0,0.33963844,0.07559417
actinic_keratosis,450.0,0.32732788,0.070259616
actinic_keratosis,460.0,0.3364194,0.06737078
actinic_keratosis,470.0,0.34165055,0.0675784
actinic_keratosis,480.0,0.36081573,0.055404637
actinic_keratosis,490.0,0.39367282,0.06420233
actinic_keratosis,500.0,0.4059218,0.080147095
actinic_keratosis,510.0,0.45653018,0.08261773
actinic_keratosis,520.0,0.47276956,0.097302966
actinic_keratosis,530.0,0.51744443,0.10479734
actinic_keratosis,540.0,0.5393243,0.11476902
actinic_keratosis,550.0,0.55292666,0.113065526
actinic_keratosis,560.0,0.5676864,0.11313983
actinic_keratosis,570.0,0.59056795,0.12374756
actinic_keratosis,580.0,0.6012322,0.1352134
actinic_keratosis,590.0,0.68973905,0.116509795
actinic_keratosis,600.0,0.7332354,0.11734171
actinic_keratosis,610.0,0.77547026,0.12091449
actinic_keratosis,620.0,0.8147248,0.1221533
actinic_keratosis,630.0,0.7706923,0.1177351
actinic_keratosis,640.0,0.72600776,0.119098224
actinic_keratosis,650.0,0.7114037,0.11774513
actinic_keratosis,660.0,0.70290816,0.12044529
actinic_keratosis,670.0,0.72204673,0.114092536
actinic_keratosis,680.0,0.74562836,0.11131932
actinic_keratosis,690.0,0.75076413,0.11485247
actinic_keratosis,700.0,0.73622376,0.12875071
bcc,400.0,0.42868096,0.09530702
bcc,410.0,0.46983463,0.09157893
bcc,420.0,0.45986447,0.09534938
bcc,430.0,0.4338668,0.08808947
bcc,440.0,0.40423954,0.083046824
bcc,450.0,0.386188,0.07932506
bcc,460.0,0.3918217,0.07776448
bcc,470.0,0.39639863,0.07902344
bcc,480.0,0.4014086,0.06262635
bcc,490.0,0.44598207,0.07516435
bcc,500.0,0.47301456,0.094469875
bcc,510.0,0.5320308,0.09739423
bcc,520.0,0.56410384,0.11325196
bcc,530.0,0.61768293,0.1223179
bcc,540.0,0.64912415,0.13499859
bcc,550.0,0.66259974,0.13242023
bcc,560.0,0.6805657,0.13080218
bcc,570.0,0.7065822,0.14310724
bcc,580.0,0.71030337,0.152254
bcc,590.0,0.7831379,0.13896605
bcc,600.0,0.8119023,0.14046428
bcc,610.0,0.8349321,0.1446058
bcc,620.0,0.85756147,0.14440735
bcc,630.0,0.7946888,0.12972322
bcc,640.0,0.73458844,0.12256707
bcc,650.0,0.72065306,0.12572263
bcc,660.0,0.71969926,0.12864675
bcc,670.0,0.7205479,0.11127715
bcc,680.0,0.7616304,0.11483093
bcc,690.0,0.77962756,0.12341085
bcc,700.0,0.78584325,0.14028199
dermatofibroma,400.0,0.3722594,0.113283575
dermatofibroma,410.0,0.4109249,0.10483427
dermatofibroma,420.0,0.39566094,0.10365937
dermatofibroma,430.0,0.37326473,0.09308585
dermatofibroma,440.0,0.3435756,0.08408879
dermatofibroma,450.0,0.32893544,0.07740744
dermatofibroma,460.0,0.33688214,0.0731465
dermatofibroma,470.0,0.3430958,0.072520025
dermatofibroma,480.0,0.36392522,0.05613698
dermatofibroma,490.0,0.39764637,0.06769041
dermatofibroma,500.0,0.40841755,0.08666508
dermatofibroma,510.0,0.46061993,0.090896286
