Image,Class,W400,W410,W420,W430,W440,W450,W460,W470,W480,W490,W500,W510,W520,W530,W540,W550,W560,W570,W580,W590,W600,W610,W620,W630,W640,W650,W660,W670,W680,W690,W700
actinic_keratosis_aug_0.mat,actinic_keratosis,0.259285,0.3059078,0.30640674,0.30267346,0.29713503,0.30384177,0.32485119,0.32781568,0.3479964,0.36622858,0.37530115,0.4136213,0.4135944,0.4500741,0.46989435,0.48434007,0.5017279,0.5429645,0.5888351,0.64219373,0.6775561,0.73041457,0.7724775,0.7045232,0.6534421,0.6562143,0.6442063,0.6252575,0.6482352,0.6722169,0.6437587
actinic_keratosis_aug_1.mat,actinic_keratosis,0.39843184,0.44315207,0.41667083,0.38845757,0.35656828,0.33706015,0.34607905,0.34988564,0.37491748,0.40986747,0.4142493,0.48336014,0.51184934,0.57569826,0.59897107,0.62325644,0.6542566,0.663786,0.6365604,0.72690594,0.7401107,0.7542717,0.77662647,0.7325181,0.6778861,0.65164137,0.63969994,0.6697583,0.70069665,0.7073339,0.7127972
actinic_keratosis_aug_10.mat,actinic_keratosis,0.17995052,0.23413277,0.20898129,0.2014502,0.17955552,0.18306659,0.20703055,0.21634829,0.28140643,0.29262254,0.26209462,0.31762192,0.30868906,0.34763658,0.34531406,0.37130013,0.39514834,0.39493388,0.3932822,0.51569265,0.56357944,0.63377833,0.7022729,0.695281,0.67836934,0.6539351,0.62360567,0.7350365,0.7248213,0.70459485,0.6344765
actinic_keratosis_aug_100.mat,actinic_keratosis,0.29382756,0.33355543,0.33401942,0.3171553,0.2881621,0.27821025,0.28901425,0.29874265,0.3196334,0.34565258,0.35891938,0.3858097,0.38117048,0.407185,0.4233733,0.4267759,0.43292415,0.4753046,0.52546674,0.6043215,0.6689351,0.74272853,0.8031182,0.7613327,0.72976184,0.7374733,0.74307036,0.75119644,0.7734703,0.7857227,0.75890654
actinic_keratosis_aug_101.mat,actinic_keratosis,0.21538195,0.28209832,0.28522268,0.2895287,0.28750622,0.3145448,0.36094764,0.37763974,0.41347483,0.43558362,0.42777598,0.46675354,0.4590969,0.510246,0.5381693,0.5726383,0.5942417,0.6642996,0.73525494,0.81611603,0.85690343,0.9446247,1.012827,0.9549736,0.91086,0.9112465,0.8950622,0.9167212,0.90039885,0.8756262,0.79402274
actinic_keratosis_aug_102.mat,actinic_keratosis,0.39519012,0.43373153,0.4360117,0.4246797,0.40319678,0.39581558,0.41552782,0.4331364,0.4401951,0.48235855,0.5016156,0.5347949,0.5498142,0.6018457,0.64226234,0.6568556,0.6667645,0.70669717,0.7414926,0.8457209,0.91541296,0.99174327,1.0514399,1.0160127,0.97845024,0.9609208,0.9437261,0.9201196,0.90781224,0.86316437,0.811184
actinic_keratosis_aug_103.mat,actinic_keratosis,0.316721,0.37121746,0.3843752,0.3741595,0.3506907,0.3502762,0.37686157,0.3954417,0.41679615,0.45361415,0.47253615,0.515816,0.53547126,0.59162253,0.62910616,0.648735,0.6669979,0.7342199,0.7835982,0.83439285,0.85850155,0.9162336,0.95702064,0.88301164,0.8277456,0.8378539,0.8526913,0.86272186,0.8997006,0.92426145,0.91634876
actinic_keratosis_aug_104.mat,actinic_keratosis,0.41970828,0.4491287,0.42088762,0.38786525,0.34528884,0.3225474,0.31804788,0.31761092,0.33486876,0.3683745,0.37145123,0.42338568,0.44162863,0.48273242,0.49511066,0.50816965,0.5349938,0.5338564,0.51511514,0.63516295,0.68491316,0.71734816,0.75142854,0.7356363,0.7030614,0.6657648,0.64641625,0.70282125,0.70639044,0.69082403,0.6696943
actinic_keratosis_aug_105.mat,actinic_keratosis,0.38453752,0.43459877,0.4278453,0.40617594,0.38662103,0.3850037,0.40221173,0.4047604,0.41555786,0.44687924,0.46474397,0.51775885,0.54047614,0.59783643,0.62567025,0.6417544,0.6679551,0.7153788,0.7358751,0.80800664,0.83638644,0.8761242,0.9086594,0.8417471,0.7783034,0.7714295,0.77185947,0.74792683,0.7813745,0.79030293,0.78546757
actinic_keratosis_aug_106.mat,actinic_keratosis,0.55074406,0.5652126,0.51433843,0.47362748,0.41579935,0.3826085,0.3705617,0.37934056,0.44357386,0.4698333,0.45950094,0.52917606,0.5689541,0.62898606,0.64622194,0.6637051,0.665524,0.6232131,0.5483893,0.75758964,0.8528976,0.8908797,0.93733144,0.97449875,0.9573693,0.87712914,0.83688325,0.93099594,0.9075188,0.8287987,0.81431144
